,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
567,Jeremy Toljan,de GER,DF,Sassuolo,24,1994,29,25,"2,186",24.3,1,2,1,0,0,8,0,0.04,0.08,0.12,0.04,0.12,0.8,0.8,2.5,3.3,0.03,0.10,0.14,0.03,0.14,Matches,2019-2020
568,Rafael Tolói,it ITA,DF,Atalanta,28,1990,33,29,"2,608",29.0,2,6,2,0,0,11,0,0.07,0.21,0.28,0.07,0.28,2.5,2.5,1.8,4.3,0.09,0.06,0.15,0.09,0.15,Matches,2019-2020
569,Takehiro Tomiyasu,jp JPN,DF,Bologna,20,1998,29,29,"2,528",28.1,1,3,1,0,0,8,0,0.04,0.11,0.14,0.04,0.14,1.0,1.0,1.1,2.1,0.03,0.04,0.07,0.03,0.07,Matches,2019-2020
570,Nenad Tomović,rs SRB,DF,SPAL,31,1987,23,20,"1,755",19.5,0,1,0,0,0,5,1,0.00,0.05,0.05,0.00,0.05,0.7,0.7,0.3,1.0,0.03,0.02,0.05,0.03,0.05,Matches,2019-2020
572,Sandro Tonali,it ITA,MF,Brescia,19,2000,35,34,"3,014",33.5,1,7,1,0,0,9,0,0.03,0.21,0.24,0.03,0.24,1.0,1.0,5.4,6.3,0.03,0.16,0.19,0.03,0.19,Matches,2019-2020
573,Lorenzo Tonelli,it ITA,DF,Sampdoria,29,1990,9,9,702,7.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.04,0.00,0.04,0.04,0.04,Matches,2019-2020
574,Ernesto Torregrossa,it ITA,FW,Brescia,27,1992,25,22,"1,844",20.5,7,3,5,2,2,8,0,0.34,0.15,0.49,0.24,0.39,7.4,5.8,2.7,8.6,0.36,0.13,0.49,0.29,0.42,Matches,2019-2020
575,Luca Tremolada,it ITA,MF,Brescia,27,1991,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020
576,Alessandro Tripaldelli,it ITA,DF,Sassuolo,20,1999,2,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020
577,William Troost-Ekong,ng NGA,DF,Udinese,25,1993,30,29,"2,576",28.6,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.7,0.02,0.00,0.03,0.02,0.03,Matches,2019-2020
578,Georgi Tunjov,ee EST,MF,SPAL,18,2001,10,3,284,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.6,0.14,0.03,0.17,0.14,0.17,Matches,2019-2020
579,Stefano Turati,it ITA,GK,Sassuolo,17,2001,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020
580,Gennaro Tutino,it ITA,FW,Hellas Verona,22,1996,6,2,225,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.08,0.01,0.08,0.08,0.08,Matches,2019-2020
581,Samir Ujkani,xk KVX,GK,Torino,31,1988,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020
582,Cengiz Ünder,tr TUR,FW,Roma,22,1997,18,10,873,9.7,3,0,3,0,0,2,0,0.31,0.00,0.31,0.31,0.31,1.9,1.9,2.6,4.5,0.20,0.26,0.46,0.20,0.46,Matches,2019-2020
583,Mirko Valdifiori,it ITA,MF,SPAL,33,1986,22,15,"1,400",15.6,0,3,0,0,0,5,0,0.00,0.19,0.19,0.00,0.19,0.1,0.1,1.9,1.9,0.01,0.12,0.12,0.01,0.12,Matches,2019-2020
584,Borja Valero,es ESP,MF,Inter,34,1985,19,9,931,10.3,2,0,2,0,0,4,0,0.19,0.00,0.19,0.19,0.19,1.5,1.5,1.3,2.8,0.15,0.12,0.27,0.15,0.27,Matches,2019-2020
585,Mattia Valoti,it ITA,"MF,FW",SPAL,25,1993,27,18,"1,527",17.0,3,1,3,0,0,7,0,0.18,0.06,0.24,0.18,0.24,3.3,3.3,1.0,4.3,0.20,0.06,0.26,0.20,0.26,Matches,2019-2020
586,Denis Vavro,sk SVK,DF,Lazio,23,1996,11,1,328,3.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.04,0.00,0.04,0.04,0.04,Matches,2019-2020
587,Matías Vecino,uy URU,MF,Inter,27,1991,20,14,"1,282",14.2,2,2,2,0,0,4,0,0.14,0.14,0.28,0.14,0.28,3.2,3.2,1.2,4.4,0.22,0.09,0.31,0.22,0.31,Matches,2019-2020
588,Miguel Veloso,pt POR,MF,Hellas Verona,33,1986,34,32,"2,811",31.2,3,4,3,0,0,6,0,0.10,0.13,0.22,0.10,0.22,2.1,2.1,5.0,7.1,0.07,0.17,0.23,0.07,0.23,Matches,2019-2020
589,Lorenzo Venuti,it ITA,DF,Fiorentina,24,1995,16,10,858,9.5,0,1,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,0.4,0.4,0.7,1.1,0.05,0.07,0.12,0.05,0.12,Matches,2019-2020
590,Brayan Vera,co COL,"DF,MF",Lecce,20,1999,8,1,155,1.7,0,1,0,0,0,0,0,0.00,0.58,0.58,0.00,0.58,0.1,0.1,0.2,0.2,0.05,0.09,0.14,0.05,0.14,Matches,2019-2020
591,Simone Verdi,it ITA,"MF,FW",Torino,27,1992,33,26,"2,073",23.0,2,6,2,0,0,4,0,0.09,0.26,0.35,0.09,0.35,4.2,4.2,3.3,7.4,0.18,0.14,0.32,0.18,0.32,Matches,2019-2020
592,Jordan Veretout,fr FRA,MF,Roma,26,1993,33,30,"2,629",29.2,6,0,1,5,5,6,0,0.21,0.00,0.21,0.03,0.03,4.8,1.0,2.6,3.6,0.17,0.09,0.25,0.04,0.12,Matches,2019-2020
593,Valerio Verre,it ITA,"FW,MF",Hellas Verona,25,1994,32,22,"1,774",19.7,3,2,1,2,2,4,0,0.15,0.10,0.25,0.05,0.15,5.6,4.1,2.9,6.9,0.28,0.14,0.43,0.21,0.35,Matches,2019-2020
594,Francesco Vicari,it ITA,DF,SPAL,24,1994,34,33,"2,898",32.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.5,0.01,0.01,0.01,0.01,0.01,Matches,2019-2020
