,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
53,Mariano Barbosa,ar ARG,GK,Villarreal,33,1984,13,12,"1,125",12.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
54,Enis Bardhi,mk MKD,MF,Levante,22,1995,26,16,"1,580",17.6,9,1,9,0,0,8,0,0.51,0.06,0.57,0.51,0.57,2.8,2.8,1.2,4.1,0.16,0.07,0.23,0.16,0.23,Matches,2017-2018
55,Antonio Barragán,es ESP,"DF,MF",Betis,30,1987,29,28,"2,373",26.4,0,6,0,0,0,7,0,0.00,0.23,0.23,0.00,0.23,0.3,0.3,2.5,2.8,0.01,0.09,0.11,0.01,0.11,Matches,2017-2018
56,Barri,es ESP,"MF,FW",Getafe,21,1995,2,1,113,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.10,0.00,0.10,0.10,0.10,Matches,2017-2018
57,Marc Bartra,es ESP,DF,Betis,26,1991,16,16,"1,420",15.8,1,0,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,0.8,0.8,0.6,1.4,0.05,0.04,0.09,0.05,0.09,Matches,2017-2018
58,Borja Bastón,es ESP,FW,Málaga,24,1992,20,8,985,10.9,2,0,1,1,2,2,0,0.18,0.00,0.18,0.09,0.09,4.1,2.6,0.6,3.2,0.37,0.06,0.43,0.23,0.29,Matches,2017-2018
59,Jon Bautista,es ESP,"FW,MF",Real Sociedad,22,1995,11,1,181,2.0,1,0,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,1.6,1.6,0.2,1.7,0.78,0.09,0.87,0.78,0.87,Matches,2017-2018
60,Paul Baysse,fr FRA,DF,Málaga,29,1988,15,13,"1,239",13.8,1,0,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,0.7,0.7,0.0,0.7,0.05,0.00,0.05,0.05,0.05,Matches,2017-2018
61,Claudio Beauvue,gp GLP,FW,Leganés,29,1988,28,17,"1,672",18.6,2,0,2,0,0,4,0,0.11,0.00,0.11,0.11,0.11,4.7,4.7,1.1,5.7,0.25,0.06,0.31,0.25,0.31,Matches,2017-2018
62,Bebé,cv CPV,"MF,FW",Eibar,27,1990,9,3,365,4.1,0,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,0.3,0.3,1.1,1.4,0.06,0.28,0.34,0.06,0.34,Matches,2017-2018
63,Wissam Ben Yedder,fr FRA,FW,Sevilla,26,1990,25,18,"1,700",18.9,9,3,8,1,1,2,1,0.48,0.16,0.64,0.42,0.58,10.2,9.4,2.1,11.5,0.54,0.11,0.65,0.50,0.61,Matches,2017-2018
64,Karim Benzema,fr FRA,FW,Real Madrid,29,1987,32,25,"2,150",23.9,5,10,3,2,2,0,0,0.21,0.42,0.63,0.13,0.54,10.7,9.2,5.6,14.8,0.45,0.23,0.68,0.39,0.62,Matches,2017-2018
65,Markel Bergara,es ESP,MF,Getafe,31,1986,18,18,"1,463",16.3,4,1,4,0,0,5,0,0.25,0.06,0.31,0.25,0.31,2.6,2.6,0.1,2.7,0.16,0.00,0.17,0.16,0.17,Matches,2017-2018
