,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
356,Yann M'Vila,fr FRA,MF,Saint-Étienne,30,1990,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
357,Yvann Macon,fr FRA,DF,Saint-Étienne,21,1998,6,6,539,6.0,1,1,1,0,0,2,0,0.17,0.17,0.33,0.17,0.33,0.0,0.0,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches,2020-2021
358,Hugo Magnetti,fr FRA,MF,Brest,22,1998,13,7,603,6.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.6,0.04,0.05,0.10,0.04,0.10,Matches,2020-2021
359,Hicham Mahou,fr FRA,DF,Nice,21,1999,2,0,34,0.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.05,0.05,0.00,0.05,Matches,2020-2021
360,Habib Maïga,ci CIV,MF,Metz,24,1996,31,31,"2,693",29.9,1,3,1,0,0,9,0,0.03,0.10,0.13,0.03,0.13,2.0,2.0,2.1,4.1,0.07,0.07,0.14,0.07,0.14,Matches,2020-2021
361,Mike Maignan,fr FRA,GK,Lille,25,1995,38,38,"3,420",38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matches,2020-2021
362,Josh Maja,ng NGA,FW,Bordeaux,21,1998,17,11,804,8.9,2,0,2,0,0,2,0,0.22,0.00,0.22,0.22,0.22,3.1,3.1,0.6,3.6,0.34,0.06,0.41,0.34,0.41,Matches,2020-2021
364,Radosław Majecki,pl POL,GK,Monaco,20,1999,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
365,Abdul Majeed Waris,gh GHA,"FW,MF",Strasbourg,28,1991,15,5,552,6.1,1,0,0,1,1,0,0,0.16,0.00,0.16,0.00,0.00,1.6,0.9,0.0,0.9,0.27,0.00,0.27,0.14,0.14,Matches,2020-2021
366,Marco Majouga,fr FRA,"MF,FW",Nîmes,19,2001,8,0,124,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.16,0.20,0.36,0.16,0.36,Matches,2020-2021
367,Hianga Mananga Mbock,fr FRA,MF,Brest,20,1999,12,4,458,5.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.04,0.01,0.05,0.04,0.05,Matches,2020-2021
368,Vincent Manceau,fr FRA,DF,Angers,31,1989,27,25,"2,309",25.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.2,1.3,0.01,0.05,0.05,0.01,0.05,Matches,2020-2021
369,Steve Mandanda,fr FRA,GK,Marseille,35,1985,37,37,"3,330",37.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
370,Reinildo Mandava,mz MOZ,DF,Lille,26,1994,29,24,"2,180",24.2,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.3,1.4,0.01,0.05,0.06,0.01,0.06,Matches,2020-2021
371,Thomas Mangani,fr FRA,MF,Angers,33,1987,35,32,"2,691",29.9,3,3,0,3,3,3,0,0.10,0.10,0.20,0.00,0.10,3.3,1.0,3.0,4.1,0.11,0.10,0.21,0.03,0.14,Matches,2020-2021
372,Vito Mannone,it ITA,GK,Monaco,32,1988,9,9,810,9.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
373,Myziane Maolida,fr FRA,"FW,MF",Nice,21,1999,19,11,"1,077",12.0,3,1,3,0,0,2,0,0.25,0.08,0.33,0.25,0.33,2.8,2.8,1.7,4.5,0.23,0.14,0.37,0.23,0.37,Matches,2020-2021
374,Faitout Maouassa,fr FRA,DF,Rennes,22,1998,23,13,"1,170",13.0,0,1,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,0.8,0.8,1.2,2.0,0.06,0.09,0.16,0.06,0.16,Matches,2020-2021
375,Sekou Mara,fr FRA,FW,Bordeaux,18,2002,8,2,229,2.5,1,2,1,0,0,0,0,0.39,0.79,1.18,0.39,1.18,0.5,0.5,0.4,0.9,0.19,0.16,0.35,0.19,0.35,Matches,2020-2021
376,Fernando Marçal,br BRA,DF,Lyon,31,1989,1,1,78,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
377,Marcelo,br BRA,DF,Lyon,33,1987,34,34,"2,907",32.3,3,0,3,0,0,7,2,0.09,0.00,0.09,0.09,0.09,1.3,1.3,0.5,1.8,0.04,0.02,0.06,0.04,0.06,Matches,2020-2021
378,Dario Maresic,at AUT,DF,Reims,20,1999,8,5,514,5.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
379,Jordan Marié,fr FRA,MF,Dijon,28,1991,24,16,"1,432",15.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,1.1,0.03,0.04,0.07,0.03,0.07,Matches,2020-2021
380,Guillermo Maripán,cl CHI,DF,Monaco,26,1994,28,22,"2,089",23.2,5,1,5,0,0,7,0,0.22,0.04,0.26,0.22,0.26,2.2,2.2,0.1,2.3,0.09,0.00,0.10,0.09,0.10,Matches,2020-2021
381,Marquinhos,br BRA,DF,Paris S-G,26,1994,25,24,"2,128",23.6,3,1,3,0,0,2,0,0.13,0.04,0.17,0.13,0.17,1.5,1.5,0.6,2.1,0.06,0.02,0.09,0.06,0.09,Matches,2020-2021
382,Jonas Martin,fr FRA,MF,Rennes,30,1990,12,6,482,5.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.03,0.03,0.00,0.03,Matches,2020-2021
