,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
69,Fabien Boudarène,fr FRA,MF,Sochaux,22,1978,22,17,"1,509",16.8,1,2,1,0,0,3,0,0.06,0.12,0.18,0.06,0.18,Matches,2001-2002
70,Ali Boumnijel,tn TUN,GK,Bastia,35,1966,4,3,290,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
71,Jean-Alain Boumsong,fr FRA,DF,Auxerre,21,1979,34,34,"3,060",34.0,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,Matches,2001-2002
72,Pierre-Emmanuel Bourdeau,fr FRA,DF,Guingamp,26,1975,24,20,"1,759",19.5,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
73,Freddy Bourgeois,fr FRA,"FW,MF",Sedan,24,1977,1,1,53,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
74,Kemal Bourhani,km COM,FW,Guingamp,19,1981,2,0,60,0.7,0,,0,0,,1,0,0.00,,,0.00,,Matches,2001-2002
75,Samuel Boutal,fr FRA,"FW,MF",Troyes,31,1969,27,22,"1,936",21.5,2,0,1,1,2,3,0,0.09,0.00,0.09,0.05,0.05,Matches,2001-2002
76,Djézon Boutoille,fr FRA,FW,Lille,25,1975,15,8,724,8.0,1,1,1,0,0,0,0,0.12,0.12,0.25,0.12,0.25,Matches,2001-2002
78,Yohan Bouzin,fr FRA,DF,Lorient,26,1974,14,12,"1,107",12.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
79,Mohamed Bradja,dz ALG,DF,Troyes,31,1969,24,20,"1,806",20.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
80,Frédéric Brando,fr FRA,MF,Sedan,27,1973,9,8,617,6.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
81,Jérémie Bréchet,fr FRA,"DF,MF",Lyon,21,1979,28,24,"2,210",24.6,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,Matches,2001-2002
82,Toni Brogno,be BEL,FW,Sedan,28,1973,6,0,80,0.9,2,0,1,1,1,1,0,2.25,0.00,2.25,1.13,1.13,Matches,2001-2002
83,Philippe Brunel,fr FRA,MF,Marseille,28,1973,11,4,549,6.1,0,,0,0,0,2,0,0.00,,,0.00,,Matches,2001-2002
84,Philippe Brunel,fr FRA,MF,Lille,28,1973,11,9,787,8.7,1,,1,0,0,1,0,0.11,,,0.11,,Matches,2001-2002
85,Mathieu Bucher,fr FRA,FW,Lens,19,1982,5,0,90,1.0,1,0,1,0,0,1,0,1.00,0.00,1.00,1.00,1.00,Matches,2001-2002
86,Hervé Bugnet,fr FRA,"FW,MF",Bordeaux,19,1981,3,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
87,Ludovic Butelle,fr FRA,GK,Metz,18,1983,6,5,516,5.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
88,Caçapa,br BRA,"DF,MF",Lyon,25,1976,15,14,"1,231",13.7,0,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches,2001-2002
89,Henri Camara,sn SEN,FW,Sedan,24,1977,25,19,"1,697",18.9,8,3,8,0,0,5,0,0.42,0.16,0.58,0.42,0.58,Matches,2001-2002
90,Souleymane Camara,sn SEN,FW,Monaco,18,1982,21,9,932,10.4,2,2,2,0,0,3,0,0.19,0.19,0.39,0.19,0.39,Matches,2001-2002
91,Zoumana Camara,fr FRA,DF,Marseille,22,1979,11,11,990,11.0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
92,Eddy Capron,fr FRA,DF,Sedan,30,1971,23,23,"2,070",23.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
93,Nick Carle,au AUS,MF,Troyes,19,1981,6,2,207,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
94,Stéphane Carnot,fr FRA,MF,Guingamp,29,1972,23,19,"1,722",19.1,4,5,4,0,0,0,0,0.21,0.26,0.47,0.21,0.47,Matches,2001-2002
95,Sébastien Carole,fr FRA,MF,Monaco,18,1982,5,3,302,3.4,1,0,1,0,0,2,0,0.30,0.00,0.30,0.30,0.30,Matches,2001-2002
96,Bruno Carotti,fr FRA,"DF,MF",Montpellier,28,1972,33,33,"2,970",33.0,3,2,3,0,0,9,0,0.09,0.06,0.15,0.09,0.15,Matches,2001-2002
97,Éric Carrière,fr FRA,MF,Lyon,28,1973,27,24,"2,057",22.9,4,7,,,,2,0,0.18,0.31,0.48,,,Matches,2001-2002
98,Éric Carrière,fr FRA,MF,Nantes,28,1973,1,1,90,1.0,0,0,,,,0,0,0.00,0.00,0.00,,,Matches,2001-2002
99,Stéphane Cassard,fr FRA,GK,Troyes,28,1972,9,9,810,9.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
100,Johan Cavalli,fr FRA,MF,Lorient,19,1981,3,0,104,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
101,Jurgen Cavens,be BEL,FW,Marseille,22,1978,5,1,212,2.4,1,0,1,0,0,1,0,0.42,0.00,0.42,0.42,0.42,Matches,2001-2002
102,Philippe Celdran,fr FRA,MF,Sedan,27,1973,15,10,837,9.3,2,2,2,0,0,3,0,0.22,0.22,0.43,0.22,0.43,Matches,2001-2002
104,Fabio Celestini,ch SUI,MF,Troyes,25,1975,21,21,"1,856",20.6,1,3,1,0,0,1,0,0.05,0.15,0.19,0.05,0.19,Matches,2001-2002
105,César,br BRA,DF,Rennes,25,1975,10,8,747,8.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
106,Mauro Cetto,ar ARG,DF,Nantes,19,1982,5,4,292,3.2,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
107,Cédric Chabert,fr FRA,MF,Lorient,27,1973,17,13,"1,113",12.4,1,0,1,0,0,7,0,0.08,0.00,0.08,0.08,0.08,Matches,2001-2002
108,Jean-Marc Chanelet,fr FRA,DF,Lyon,33,1968,19,15,"1,333",14.8,1,1,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14,Matches,2001-2002
109,Cyril Chapuis,fr FRA,FW,Marseille,22,1979,9,4,492,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
110,Cyril Chapuis,fr FRA,FW,Rennes,22,1979,12,8,769,8.5,3,0,3,0,0,0,0,0.35,0.00,0.35,0.35,0.35,Matches,2001-2002
111,Adel Chedli,tn TUN,MF,Sochaux,24,1976,28,26,"2,171",24.1,0,5,0,0,0,5,0,0.00,0.21,0.21,0.00,0.21,Matches,2001-2002
112,Benoît Cheyrou,fr FRA,MF,Lille,20,1981,23,13,"1,253",13.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
