club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
FC Girondins Bordeaux,David Sommeil,27,Centre-Back,Man City,€4.50m,out,Summer,4.5,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Christian,27,Centre-Forward,Galatasaray,Loan fee:€1.80m,out,Summer,1.8,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Francois Dubourdeau,21,Goalkeeper,Motherwell FC,free transfer,out,Summer,NA,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Benjamin Oliveras,21,Left-Back,Unknown,free transfer,out,Summer,NA,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Christian,28,Centre-Forward,Grêmio,free transfer,out,Summer,NA,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Hervé Bugnet,20,Right Winger,LB Châteauroux,loan transfer,out,Summer,NA,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Bruno Da Rocha,24,Defensive Midfield,ASOA Valence,?,out,Summer,NA,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Teddy Richert,27,Goalkeeper,FC Sochaux,?,out,Summer,NA,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Kiki Musampa,24,Left Winger,Málaga CF,?,out,Summer,NA,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Hervé Alicarte,27,Sweeper,AC Ajaccio,loan transfer,out,Summer,NA,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Paulo Miranda,28,Defensive Midfield,Flamengo,loan transfer,out,Summer,NA,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Vikash Dhorasoo,28,Central Midfield,Olympique Lyon,"End of loanJun 30, 2002",out,Summer,0,Ligue 1,2002,2002/2003
FC Girondins Bordeaux,Yksel Osmanovski,25,Left Midfield,Torino,"End of loanJun 30, 2002",out,Summer,0,Ligue 1,2002,2002/2003
FC Sochaux-Montbéliard,Basile de Carvalho,20,Centre-Forward,Louh.-Cuiseaux,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
FC Sochaux-Montbéliard,Ibrahim Tall,21,defence,Louh.-Cuiseaux,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
FC Sochaux-Montbéliard,Gérard Gnanhouan,23,Goalkeeper,Guingamp,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
FC Sochaux-Montbéliard,Johann Lonfat,29,Defensive Midfield,Servette FC,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
FC Sochaux-Montbéliard,Teddy Richert,27,Goalkeeper,G. Bordeaux,?,in,Summer,NA,Ligue 1,2002,2002/2003
FC Sochaux-Montbéliard,Wilson Oruma,25,Attacking Midfield,Servette FC,?,in,Summer,NA,Ligue 1,2002,2002/2003
FC Sochaux-Montbéliard,Jean-Léon Bart,19,Central Midfield,Lausanne-Sport,?,in,Summer,NA,Ligue 1,2002,2002/2003
FC Sochaux-Montbéliard,Virgile Boumelaha,18,Centre-Back,FC Sochaux B,-,in,Summer,0,Ligue 1,2002,2002/2003
FC Sochaux-Montbéliard,Alexandre Martinovic,17,Goalkeeper,FC Sochaux U19,-,in,Summer,0,Ligue 1,2002,2002/2003
FC Sochaux-Montbéliard,Jérémy Mathieu,18,Centre-Back,FC Sochaux U19,-,in,Summer,0,Ligue 1,2002,2002/2003
FC Sochaux-Montbéliard,Kamal Tassali,21,Centre-Forward,Besançon RC,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
FC Sochaux-Montbéliard,Kendal Ucar,20,Attacking Midfield,Ionikos Nikeas,free transfer,out,Summer,NA,Ligue 1,2002,2002/2003
FC Sochaux-Montbéliard,Kamel Chafni,20,Attacking Midfield,Besançon RC,loan transfer,out,Summer,NA,Ligue 1,2002,2002/2003
FC Sochaux-Montbéliard,Vincent Fernandez,27,Goalkeeper,R. Strasbourg,?,out,Summer,NA,Ligue 1,2002,2002/2003
FC Sochaux-Montbéliard,Pascal Villechalane,26,Goalkeeper,FC Rouen 1899,?,out,Summer,NA,Ligue 1,2002,2002/2003
FC Sochaux-Montbéliard,Bernard Maraval,30,Centre-Back,Retired,-,out,Summer,0,Ligue 1,2002,2002/2003
FC Sochaux-Montbéliard,Finazzi,28,Centre-Forward,Botafogo,"End of loanJun 30, 2002",out,Summer,0,Ligue 1,2002,2002/2003
FC Sochaux-Montbéliard,Teddy Richert,27,Goalkeeper,G. Bordeaux,"End of loanJun 30, 2002",out,Summer,0,Ligue 1,2002,2002/2003
AJ Auxerre,Stéphane Grichting,23,Centre-Back,FC Sion,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
AJ Auxerre,Sébastien Hamel,26,Goalkeeper,FC Lorient,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
AJ Auxerre,Romain Poyet,21,Centre-Forward,AS Saint-Priest,free transfer,in,Summer,NA,Ligue 1,2002,2002/2003
AJ Auxerre,Benjani,23,Centre-Forward,Jomo Cosmos,?,in,Summer,NA,Ligue 1,2002,2002/2003
AJ Auxerre,Richard Suriano,20,Right-Back,AJ Auxerre B,-,in,Summer,0,Ligue 1,2002,2002/2003
AJ Auxerre,Mohamed Sissoko,17,Defensive Midfield,AJ Auxerre U19,-,in,Summer,0,Ligue 1,2002,2002/2003
AJ Auxerre,Jean-Pascal Mignot,21,Centre-Back,AJ Auxerre B,-,in,Summer,0,Ligue 1,2002,2002/2003
AJ Auxerre,Pierre Deblock,29,Right Midfield,SC Bastia,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
AJ Auxerre,David Recorbet,25,Centre-Back,ES Wasquehal,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
AJ Auxerre,Lassina Diabaté,27,Defensive Midfield,Portsmouth,free transfer,out,Summer,NA,Ligue 1,2002,2002/2003
AJ Auxerre,Ronan Le Crom,27,Goalkeeper,Guingamp,free transfer,out,Summer,NA,Ligue 1,2002,2002/2003
AJ Auxerre,Pawel Hajduczek,20,Defensive Midfield,Podbeskidzie,free transfer,out,Summer,NA,Ligue 1,2002,2002/2003
AJ Auxerre,Frédéric Jay,25,Right-Back,Stade Rennais,free transfer,out,Summer,NA,Ligue 1,2002,2002/2003
