,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
99,Carney Chukwuemeka\b2f9c73e,eng ENG,FWMF,Aston Villa,16,2004,0.2,2,2,1,0,1,1,3,33.3,2,14,3,21.4,6,4,4,1,0,0,1,0,2,0,0,Matches
100,Ciaran Clark\2b91cf8e,ie IRL,DF,Newcastle Utd,30,1989,21.0,27,14,18,7,2,3,10,30.0,7,156,49,31.4,102,42,12,45,20,0,25,26,53,134,3,Matches
101,Nathaniel Clyne\0442183b,eng ENG,DF,Crystal Palace,29,1991,12.7,21,9,14,7,0,9,16,56.3,7,117,31,26.5,73,29,15,25,2,0,23,13,34,32,0,Matches
102,Conor Coady\2928dca2,eng ENG,DF,Wolves,27,1993,36.7,31,23,23,8,0,14,37,37.8,23,203,71,35.0,149,52,2,59,39,2,20,25,56,163,1,Matches
103,Séamus Coleman\0420d84f,ie IRL,DFMF,Everton,31,1988,17.9,39,26,25,9,5,17,40,42.5,23,242,73,30.2,134,72,36,39,9,0,30,20,59,38,1,Matches
104,Aaron Connolly\27c01749,ie IRL,FW,Brighton,20,2000,8.8,7,5,2,4,1,1,5,20.0,4,124,40,32.3,7,58,59,9,1,0,8,0,7,1,0,Matches
105,Liam Cooper\dc64b8b3,sct SCO,DF,Leeds United,28,1991,24.3,76,47,48,27,1,34,58,58.6,24,291,115,39.5,181,102,8,45,31,0,14,53,129,123,1,Matches
106,Theo Corbeanu\25b82f9a,ca CAN,FW,Wolves,18,2002,0.1,1,0,0,1,0,0,1,0.0,1,4,1,25.0,1,2,1,0,0,0,0,1,2,0,0,Matches
107,Jack Cork\74e12f1e,eng ENG,MF,Burnley,31,1989,15.0,25,16,6,15,4,9,27,33.3,18,234,71,30.3,58,121,55,20,6,0,14,15,40,24,0,Matches
108,Hélder Costa\f13d02a6,ao ANG,MFFW,Leeds United,26,1994,12.8,30,15,14,7,9,9,32,28.1,23,265,72,27.2,93,102,70,19,0,0,19,6,36,9,0,Matches
109,Vladimír Coufal\fdf3cb77,cz CZE,DF,West Ham,27,1992,33.9,77,41,57,17,3,44,93,47.3,49,457,126,27.6,247,140,70,74,5,0,69,39,116,122,1,Matches
110,Aaron Cresswell\4f974391,eng ENG,DF,West Ham,30,1989,35.2,31,13,15,14,2,14,34,41.2,20,230,67,29.1,122,90,18,48,14,0,34,36,67,98,0,Matches
111,Patrick Cutrone\a4fe8cda,it ITA,FW,Wolves,22,1998,0.3,0,0,0,0,0,0,0,,0,7,2,28.6,2,1,4,0,0,0,0,0,0,0,0,Matches
112,Stuart Dallas\67ca8566,nir NIR,DFMF,Leeds United,29,1991,37.9,79,52,46,28,5,29,100,29.0,71,587,190,32.4,223,279,85,55,3,0,52,59,138,55,1,Matches
113,Scott Dann\52105203,eng ENG,DF,Crystal Palace,33,1987,15.0,10,7,9,1,0,3,12,25.0,9,62,17,27.4,41,20,1,26,16,0,10,8,18,75,1,Matches
114,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,29,1990,25.0,0,0,0,0,0,0,2,0.0,2,2,0,0.0,2,0,0,0,0,0,0,1,1,2,0,Matches
115,Ben Davies\44781702,wls WAL,DF,Tottenham,27,1993,15.0,26,13,14,8,4,10,29,34.5,19,184,42,22.8,91,64,29,24,5,0,19,13,39,72,0,Matches
116,Tom Davies\9228b07c,eng ENG,MF,Everton,22,1998,15.8,33,28,21,11,1,10,40,25.0,30,272,91,33.5,115,123,34,21,8,0,13,34,67,30,1,Matches
117,Keinan Davis\9deaf2c8,eng ENG,FWMF,Aston Villa,22,1998,3.1,3,3,1,1,1,0,1,0.0,1,63,16,25.4,4,33,26,2,1,0,1,0,3,2,0,Matches
118,Leif Davis\8574c61f,eng ENG,DF,Leeds United,20,2000,0.4,0,0,0,0,0,0,2,0.0,2,12,0,0.0,5,6,1,3,1,0,2,2,2,0,0,Matches
119,Craig Dawson\3e9e06cb,eng ENG,DF,West Ham,30,1990,21.4,13,11,13,0,0,3,12,25.0,9,145,45,31.0,96,46,3,32,25,1,7,39,52,133,1,Matches
120,Kevin De Bruyne\e46012d4,be BEL,MF,Manchester City,29,1991,22.2,37,31,8,19,10,10,52,19.2,42,376,122,32.4,46,175,155,27,2,0,25,16,53,7,0,Matches
121,Liam Delap\dd897ee7,eng ENG,FW,Manchester City,17,2003,0.4,0,0,0,0,0,0,0,,0,6,1,16.7,0,5,1,0,0,0,0,0,0,0,0,Matches
122,Fabian Delph\111c3236,eng ENG,MFDF,Everton,30,1989,3.0,5,2,3,2,0,1,2,50.0,1,30,6,20.0,12,18,0,4,0,0,4,4,9,3,0,Matches
123,Leander Dendoncker\5a7301ae,be BEL,MFDF,Wolves,25,1995,27.8,49,29,31,15,3,23,61,37.7,38,494,149,30.2,223,224,47,59,15,0,44,27,76,75,0,Matches
124,Mbaye Diagne\dda3969e,sn SEN,FW,West Brom,28,1991,13.2,8,4,3,2,3,1,4,25.0,3,137,41,29.9,13,44,80,7,1,0,6,2,10,17,0,Matches
125,Amad Diallo\9dc96f10,ci CIV,FW,Manchester Utd,18,2002,1.8,3,3,1,2,0,0,0,,0,50,14,28.0,13,21,16,2,1,0,1,3,6,3,0,Matches
126,Ibrahima Diallo\11ff3d56,fr FRA,MF,Southampton,21,1999,11.3,30,25,14,14,2,9,23,39.1,14,242,82,33.9,81,144,17,14,1,0,13,16,46,16,0,Matches
127,Grady Diangana\f522d7ec,eng ENG,MFFW,West Brom,22,1998,13.7,35,19,22,5,8,14,36,38.9,22,309,67,21.7,142,96,71,30,2,0,28,14,49,5,1,Matches
128,Raphael Dias Belloli\3423f250,br BRA,MF,Leeds United,23,1996,26.2,38,19,15,14,9,13,55,23.6,42,402,98,24.4,111,160,131,39,1,0,38,31,69,33,0,Matches
129,Rúben Dias\31c69ef1,pt POR,DF,Manchester City,23,1997,31.6,31,21,17,12,2,6,23,26.1,17,181,67,37.0,92,70,19,45,25,0,20,22,53,118,0,Matches
130,Eric Dier\ac861941,eng ENG,DF,Tottenham,26,1994,28.0,24,15,13,10,1,12,22,54.5,10,166,48,28.9,106,52,8,50,34,0,16,23,47,169,0,Matches
131,Lucas Digne\1b84dbe1,fr FRA,DF,Everton,27,1993,29.8,78,40,53,14,11,29,50,58.0,21,412,106,25.7,195,141,76,59,4,0,55,26,104,96,0,Matches
132,Virgil van Dijk\e06683ca,nl NED,DF,Liverpool,29,1991,4.1,3,1,1,2,0,0,1,0.0,1,14,3,21.4,7,7,0,3,2,0,1,0,3,12,1,Matches
133,Issa Diop\a712ca2b,fr FRA,DF,West Ham,23,1997,15.3,26,19,14,12,0,6,18,33.3,12,113,41,36.3,61,48,4,35,24,1,11,14,40,82,2,Matches
134,Moussa Djenepo\254147d4,ml MLI,MF,Southampton,22,1998,13.8,46,22,25,11,10,18,53,34.0,35,332,95,28.6,122,124,86,27,1,0,26,10,56,17,0,Matches
135,Matt Doherty\d557d734,ie IRL,DF,Tottenham,28,1992,13.8,23,8,10,8,5,11,34,32.4,23,186,38,20.4,80,70,36,41,5,0,36,18,41,54,0,Matches
