,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
86,Jean Calvé,fr FRA,DF,Le Mans,23,1984,34,32,"2,868",31.9,0,2,0,0,0,6,1,0.00,0.06,0.06,0.00,0.06,Matches,2007-2008
87,Pascal Camadini,fr FRA,MF,Strasbourg,35,1972,3,0,70,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
88,Ibrahima Camara,gn GUI,"DF,MF",Le Mans,22,1985,25,22,"1,963",21.8,0,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,Matches,2007-2008
89,Zoumana Camara,fr FRA,DF,Paris S-G,28,1979,38,38,"3,420",38.0,1,0,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,Matches,2007-2008
90,Basile Camerling,fr FRA,FW,Nancy,20,1987,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
91,Lorik Cana,al ALB,"DF,MF",Marseille,24,1983,34,34,"3,035",33.7,2,0,2,0,0,11,0,0.06,0.00,0.06,0.06,0.06,Matches,2007-2008
92,Alain Cantareil,fr FRA,DF,Lorient,23,1983,19,9,"1,020",11.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
93,Étienne Capoue,fr FRA,MF,Toulouse,19,1988,5,1,88,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
94,Julien Cardy,fr FRA,MF,Metz,25,1981,1,1,45,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
95,Cédric Carrasso,fr FRA,GK,Marseille,25,1981,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
96,Éric Carrière,fr FRA,MF,Lens,34,1973,22,11,"1,138",12.6,0,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches,2007-2008
97,Stéphane Cassard,fr FRA,GK,Strasbourg,34,1972,38,38,"3,375",37.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
98,Fernando Cavenaghi,ar ARG,FW,Bordeaux,23,1983,23,15,"1,394",15.5,15,0,11,4,4,4,0,0.97,0.00,0.97,0.71,0.71,Matches,2007-2008
99,Ceará,br BRA,DF,Paris S-G,27,1980,30,28,"2,514",27.9,1,2,1,0,0,2,0,0.04,0.07,0.11,0.04,0.11,Matches,2007-2008
100,Grégory Cerdan,fr FRA,DF,Le Mans,25,1982,23,22,"1,970",21.9,0,0,0,0,0,1,2,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
101,Paulo César,br BRA,"DF,MF",Toulouse,28,1978,19,12,978,10.9,0,2,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,Matches,2007-2008
102,Mauro Cetto,ar ARG,DF,Toulouse,25,1982,24,24,"2,096",23.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
104,Kamel Chafni,ma MAR,MF,Auxerre,25,1982,31,28,"2,544",28.3,2,2,2,0,0,6,0,0.07,0.07,0.14,0.07,0.14,Matches,2007-2008
105,Matthieu Chalmé,fr FRA,DF,Bordeaux,26,1980,34,33,"2,874",31.9,0,1,0,0,0,11,1,0.00,0.03,0.03,0.00,0.03,Matches,2007-2008
106,Marouane Chamakh,ma MAR,FW,Bordeaux,23,1984,32,17,"1,751",19.5,4,5,4,0,0,4,1,0.21,0.26,0.46,0.21,0.46,Matches,2007-2008
107,Clément Chantôme,fr FRA,MF,Paris S-G,19,1987,28,21,"1,809",20.1,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches,2007-2008
108,Cyril Chapuis,fr FRA,FW,Metz,28,1979,7,3,284,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
109,Aurélien Chedjou,cm CMR,DF,Lille,22,1985,2,1,125,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
110,Éric Chelle,ml MLI,DF,Valenciennes,29,1977,21,21,"1,839",20.4,3,0,3,0,0,3,0,0.15,0.00,0.15,0.15,0.15,Matches,2007-2008
111,Benoît Cheyrou,fr FRA,MF,Marseille,26,1981,35,32,"2,823",31.4,2,8,2,0,0,8,0,0.06,0.26,0.32,0.06,0.32,Matches,2007-2008
112,Bruno Cheyrou,fr FRA,MF,Rennes,29,1978,27,24,"2,153",23.9,0,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches,2007-2008
113,Michaël Chrétien,ma MAR,DF,Nancy,23,1984,30,30,"2,700",30.0,0,1,0,0,0,3,1,0.00,0.03,0.03,0.00,0.03,Matches,2007-2008
114,Michaël Ciani,fr FRA,DF,Lorient,23,1984,36,36,"3,240",36.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
115,Gérald Cid,fr FRA,DF,Nice,24,1983,9,6,480,5.3,0,1,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,Matches,2007-2008
116,Djibril Cissé,fr FRA,FW,Marseille,25,1981,35,29,"2,729",30.3,16,3,16,0,1,5,0,0.53,0.10,0.63,0.53,0.63,Matches,2007-2008
117,Papiss Cissé,sn SEN,FW,Metz,22,1985,9,5,483,5.4,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
