,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
514,Moussa Sylla,fr FRA,"FW,MF",Monaco,17,1999,5,3,304,3.4,2,0,2,0,0,1,0,0.59,0.00,0.59,0.59,0.59,1.9,1.9,0.1,2.0,0.56,0.03,0.60,0.56,0.60,Matches,2017-2018
515,Alexander Søderlund,no NOR,"FW,MF",Saint-Étienne,29,1987,12,2,363,4.0,0,1,0,0,0,0,1,0.00,0.25,0.25,0.00,0.25,1.2,1.2,0.2,1.4,0.30,0.06,0.36,0.30,0.36,Matches,2017-2018
516,Franck Tabanou,fr FRA,DF,Guingamp,28,1989,15,12,"1,048",11.6,0,2,0,0,0,5,0,0.00,0.17,0.17,0.00,0.17,0.1,0.1,1.2,1.2,0.01,0.10,0.11,0.01,0.11,Matches,2017-2018
517,Ervin Taha,fr FRA,"MF,FW",Bordeaux,18,1999,2,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.08,0.00,0.08,0.08,0.08,Matches,2017-2018
518,Mehdi Tahrat,dz ALG,MF,Angers,27,1990,7,6,443,4.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.01,0.04,0.03,0.04,Matches,2017-2018
520,Flavien Tait,fr FRA,"MF,FW",Angers,24,1993,31,26,"2,235",24.8,4,3,4,0,0,4,1,0.16,0.12,0.28,0.16,0.28,3.9,3.9,4.0,7.9,0.16,0.16,0.32,0.16,0.32,Matches,2017-2018
521,Adrien Tameze,cm CMR,MF,Nice,23,1994,26,19,"1,681",18.7,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,0.3,0.3,0.8,1.0,0.01,0.04,0.05,0.01,0.05,Matches,2017-2018
522,Oussama Tannane,ma MAR,"FW,MF",Saint-Étienne,23,1994,6,2,207,2.3,0,1,0,0,0,1,0,0.00,0.43,0.43,0.00,0.43,1.0,1.0,0.5,1.5,0.42,0.22,0.64,0.42,0.64,Matches,2017-2018
523,Ciprian Tătărușanu,ro ROU,GK,Nantes,31,1986,37,37,"3,330",37.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
524,Júlio Tavares,cv CPV,FW,Dijon,28,1988,26,23,"2,055",22.8,12,2,9,3,3,3,0,0.53,0.09,0.61,0.39,0.48,9.6,7.3,2.2,9.5,0.42,0.10,0.51,0.32,0.42,Matches,2017-2018
525,Jordan Tell,fr FRA,"FW,DF",Rennes,20,1997,6,0,114,1.3,1,0,1,0,0,0,0,0.79,0.00,0.79,0.79,0.79,1.2,1.2,0.2,1.4,0.97,0.15,1.12,0.97,1.12,Matches,2017-2018
526,Martin Terrier,fr FRA,"FW,MF",Strasbourg,20,1997,25,19,"1,672",18.6,3,3,3,0,0,3,0,0.16,0.16,0.32,0.16,0.32,4.8,4.8,2.5,7.3,0.26,0.14,0.39,0.26,0.39,Matches,2017-2018
527,Kenny Tete,nl NED,DF,Lyon,21,1995,22,16,"1,608",17.9,1,4,1,0,0,3,0,0.06,0.22,0.28,0.06,0.28,0.6,0.6,2.9,3.5,0.03,0.16,0.20,0.03,0.20,Matches,2017-2018
528,Florian Thauvin,fr FRA,"FW,MF",Marseille,24,1993,35,35,"2,950",32.8,22,11,19,3,4,7,0,0.67,0.34,1.01,0.58,0.92,15.1,12.0,9.3,21.3,0.46,0.28,0.74,0.37,0.65,Matches,2017-2018
529,Kévin Théophile-Catherine,fr FRA,DF,Saint-Étienne,27,1989,25,24,"2,165",24.1,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.9,0.02,0.01,0.04,0.02,0.04,Matches,2017-2018
530,Vincent Thill,lu LUX,"MF,FW",Metz,17,2000,1,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
531,Romain Thomas,fr FRA,DF,Angers,29,1988,28,28,"2,470",27.4,2,0,2,0,0,5,0,0.07,0.00,0.07,0.07,0.07,1.8,1.8,0.2,2.0,0.06,0.01,0.07,0.06,0.07,Matches,2017-2018
532,Adrien Thomasson,fr FRA,"MF,FW",Nantes,23,1993,36,29,"2,578",28.6,5,3,5,0,0,4,0,0.17,0.10,0.28,0.17,0.28,4.7,4.7,3.1,7.8,0.16,0.11,0.27,0.16,0.27,Matches,2017-2018
533,Marcus Thuram,fr FRA,FW,Guingamp,19,1997,32,20,"1,929",21.4,3,1,3,0,0,2,0,0.14,0.05,0.19,0.14,0.19,7.2,7.2,2.4,9.6,0.34,0.11,0.45,0.34,0.45,Matches,2017-2018
534,Youri Tielemans,be BEL,MF,Monaco,20,1997,27,18,"1,569",17.4,0,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,1.8,1.8,1.6,3.3,0.10,0.09,0.19,0.10,0.19,Matches,2017-2018
535,Jonathan Tinhan,bj BEN,"FW,MF",Troyes,28,1989,5,0,73,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.24,0.04,0.28,0.24,0.28,Matches,2017-2018
536,Ola Toivonen,se SWE,"FW,MF",Toulouse,31,1986,23,8,800,8.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,2.2,2.2,0.4,2.7,0.25,0.05,0.30,0.25,0.30,Matches,2017-2018
537,Karl Toko Ekambi,cm CMR,"FW,MF",Angers,24,1992,37,33,"3,040",33.8,17,6,14,3,3,4,0,0.50,0.18,0.68,0.41,0.59,16.2,13.9,4.2,18.1,0.48,0.12,0.60,0.41,0.54,Matches,2017-2018
538,Jérémy Toulalan,fr FRA,DF,Bordeaux,33,1983,21,21,"1,890",21.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
539,Abdoulaye Touré,fr FRA,MF,Nantes,23,1994,36,31,"2,810",31.2,1,1,1,0,0,3,0,0.03,0.03,0.06,0.03,0.06,1.5,1.5,0.7,2.2,0.05,0.02,0.07,0.05,0.07,Matches,2017-2018
