,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
502,Leonardo Ulloa,ar ARG,FW,Leicester City,31,1986,4,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.11,0.00,0.11,0.11,0.11,Matches,2017-2018
503,Leonardo Ulloa,ar ARG,FW,Brighton,31,1986,10,2,267,3.0,1,0,1,0,0,0,0,0.34,0.00,0.34,0.34,0.34,0.4,0.4,0.3,0.7,0.15,0.09,0.24,0.15,0.24,Matches,2017-2018
504,Antonio Valencia,ec ECU,DF,Manchester Utd,31,1985,31,31,"2,740",30.4,3,1,3,0,0,7,0,0.10,0.03,0.13,0.10,0.13,0.6,0.6,1.7,2.3,0.02,0.05,0.08,0.02,0.08,Matches,2017-2018
505,Jamie Vardy,eng ENG,FW,Leicester City,30,1987,37,37,"3,247",36.1,20,1,15,5,6,3,0,0.55,0.03,0.58,0.42,0.44,17.7,13.1,2.9,16.1,0.49,0.08,0.57,0.36,0.45,Matches,2017-2018
506,Jan Vertonghen,be BEL,DF,Tottenham,30,1987,36,36,"3,203",35.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.9,2.0,0.03,0.02,0.06,0.03,0.06,Matches,2017-2018
507,Nikola Vlašić,hr CRO,"FW,MF",Everton,19,1997,12,7,576,6.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.8,1.2,0.05,0.13,0.19,0.05,0.19,Matches,2017-2018
508,Sam Vokes,wls WAL,"FW,MF",Burnley,27,1989,30,7,998,11.1,4,1,4,0,0,3,0,0.36,0.09,0.45,0.36,0.45,3.3,3.3,0.6,3.9,0.30,0.05,0.35,0.30,0.35,Matches,2017-2018
509,Michel Vorm,nl NED,GK,Tottenham,33,1983,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
510,Molla Wagué,ml MLI,DF,Watford,26,1991,6,5,438,4.9,1,0,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21,0.9,0.9,0.0,0.9,0.18,0.00,0.18,0.18,0.18,Matches,2017-2018
511,Theo Walcott,eng ENG,"FW,MF",Arsenal,28,1989,6,0,69,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
512,Theo Walcott,eng ENG,FW,Everton,28,1989,14,13,"1,152",12.8,3,3,3,0,0,2,0,0.23,0.23,0.47,0.23,0.47,3.1,3.1,1.7,4.8,0.24,0.13,0.38,0.24,0.38,Matches,2017-2018
513,Kyle Walker,eng ENG,DF,Manchester City,27,1990,32,32,"2,785",30.9,0,6,0,0,0,3,2,0.00,0.19,0.19,0.00,0.19,0.7,0.7,4.8,5.4,0.02,0.15,0.18,0.02,0.18,Matches,2017-2018
514,Kyle Walker-Peters,eng ENG,DF,Tottenham,20,1997,3,2,189,2.1,0,2,0,0,0,0,0,0.00,0.95,0.95,0.00,0.95,0.0,0.0,1.5,1.5,0.00,0.73,0.73,0.00,0.73,Matches,2017-2018
