,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
94,Sergio Córdova,ve VEN,"FW,MF",Augsburg,19,1997,26,3,586,6.5,2,1,2,0,0,3,0,0.31,0.15,0.46,0.31,0.46,2.0,2.0,0.9,2.9,0.30,0.14,0.44,0.30,0.44,Matches,2017-2018
95,Danny da Costa,de GER,DF,Eint Frankfurt,24,1993,17,13,"1,202",13.4,1,2,1,0,0,1,0,0.07,0.15,0.22,0.07,0.22,1.2,1.2,1.6,2.8,0.09,0.12,0.21,0.09,0.21,Matches,2017-2018
96,Mickaël Cuisance,fr FRA,"MF,FW",M'Gladbach,17,1999,24,9,"1,207",13.4,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,1.6,1.6,1.8,3.5,0.12,0.14,0.26,0.12,0.26,Matches,2017-2018
97,Mahmoud Dahoud,de GER,MF,Dortmund,21,1996,23,11,"1,146",12.7,0,4,0,0,0,4,0,0.00,0.31,0.31,0.00,0.31,1.7,1.7,3.0,4.6,0.13,0.23,0.37,0.13,0.37,Matches,2017-2018
98,Kevin Danso,at AUT,DF,Augsburg,18,1998,16,13,"1,105",12.3,2,0,2,0,0,2,0,0.16,0.00,0.16,0.16,0.16,2.0,2.0,0.4,2.3,0.16,0.03,0.19,0.16,0.19,Matches,2017-2018
99,Palkó Dárdai,hu HUN,FW,Hertha BSC,18,1999,2,0,27,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
100,Vladimír Darida,cz CZE,MF,Hertha BSC,26,1990,21,18,"1,635",18.2,0,3,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,1.4,1.4,2.0,3.4,0.08,0.11,0.19,0.08,0.19,Matches,2017-2018
101,Thomas Delaney,dk DEN,MF,Werder Bremen,25,1991,32,31,"2,796",31.1,3,4,3,0,0,5,0,0.10,0.13,0.23,0.10,0.23,4.2,4.2,2.5,6.7,0.13,0.08,0.21,0.13,0.21,Matches,2017-2018
102,Kerem Demirbay,de GER,MF,Hoffenheim,24,1993,19,13,"1,211",13.5,2,2,1,1,1,3,0,0.15,0.15,0.30,0.07,0.22,2.0,1.3,2.2,3.5,0.15,0.16,0.31,0.09,0.26,Matches,2017-2018
104,Diego Demme,de GER,MF,RB Leipzig,25,1991,30,25,"2,284",25.4,0,3,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,0.4,0.4,1.8,2.2,0.02,0.07,0.09,0.02,0.09,Matches,2017-2018
