,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
75,Bradley Carnell,za RSA,"DF,MF",Karlsruher,30,1977,17,13,"1,017",11.3,0,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches,2007-2008
76,Romeo Castelen,nl NED,"FW,MF",Hamburger SV,24,1983,13,7,699,7.8,0,1,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,Matches,2007-2008
78,Gonzalo Castro,de GER,"DF,MF",Leverkusen,20,1987,33,33,"2,925",32.5,1,1,0,1,1,9,0,0.03,0.03,0.06,0.00,0.03,Matches,2007-2008
79,Đorđije Ćetković,me MNE,"FW,MF",Hansa Rostock,24,1983,13,8,668,7.4,1,0,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,Matches,2007-2008
80,Mounir Chaftar,de GER,DF,Eint Frankfurt,21,1986,6,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
81,Sofian Chahed,tn TUN,"DF,MF",Hertha BSC,24,1983,33,31,"2,693",29.9,4,1,0,4,4,4,0,0.13,0.03,0.17,0.00,0.03,Matches,2007-2008
82,Angelos Charisteas,gr GRE,FW,Nürnberg,27,1980,24,20,"1,664",18.5,6,1,6,0,0,1,0,0.32,0.05,0.38,0.32,0.38,Matches,2007-2008
83,Steve Cherundolo,us USA,DF,Hannover 96,28,1979,33,33,"2,930",32.6,0,2,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches,2007-2008
84,Chris,br BRA,"DF,MF",Eint Frankfurt,28,1978,10,9,832,9.2,1,0,1,0,0,4,0,0.11,0.00,0.11,0.11,0.11,Matches,2007-2008
85,Matias Concha,se SWE,DF,Bochum,27,1980,18,16,"1,506",16.7,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches,2007-2008
86,Ricardo Costa,pt POR,DF,Wolfsburg,26,1981,20,19,"1,695",18.8,2,0,2,0,0,8,0,0.11,0.00,0.11,0.11,0.11,Matches,2007-2008
87,Mario Cvitanović,hr CRO,DF,Energie Cottbus,32,1975,31,31,"2,754",30.6,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
88,Christoph Dabrowski,de GER,MF,Bochum,28,1978,28,28,"2,353",26.1,5,3,5,0,0,8,0,0.19,0.11,0.31,0.19,0.31,Matches,2007-2008
89,Pál Dárdai,hu HUN,MF,Hertha BSC,31,1976,23,13,"1,284",14.3,0,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,Matches,2007-2008
90,Markus Daun,de GER,FW,MSV Duisburg,26,1980,19,3,557,6.2,2,0,2,0,0,2,0,0.32,0.00,0.32,0.32,0.32,Matches,2007-2008
91,Dedê,br BRA,DF,Dortmund,29,1978,30,30,"2,625",29.2,1,9,1,0,0,3,1,0.03,0.31,0.34,0.03,0.34,Matches,2007-2008
