,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
100,Benoît Cauet,fr FRA,MF,Inter,29,1969,28,20,"1,947",21.6,1,3,1,0,0,11,0,0.05,0.14,0.18,0.05,0.18,Matches,1998-1999
101,Gianni Cavezzi,it ITA,MF,Cagliari,28,1969,27,14,"1,316",14.6,0,2,0,0,0,4,0,0.00,0.14,0.14,0.00,0.14,Matches,1998-1999
102,Matteo Centurioni,it ITA,DF,Cagliari,24,1974,9,3,391,4.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
104,Raffaele Cerbone,it ITA,FW,Empoli,29,1969,13,4,537,6.0,2,0,2,0,0,0,0,0.34,0.00,0.34,0.34,0.34,Matches,1998-1999
105,Vincenzo Chianese,it ITA,FW,Salernitana,22,1976,18,8,793,8.8,0,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matches,1998-1999
106,Roberto Chiappara,it ITA,MF,Empoli,24,1973,14,4,392,4.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
107,Enrico Chiesa,it ITA,FW,Parma,27,1970,30,29,"2,192",24.4,9,10,8,1,1,3,0,0.37,0.41,0.78,0.33,0.74,Matches,1998-1999
108,Antonio Chimenti,it ITA,GK,Roma,28,1970,24,23,"2,146",23.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
109,Francesco Coco,it ITA,DF,Milan,21,1977,6,0,172,1.9,0,1,0,0,0,0,0,0.00,0.52,0.52,0.00,0.52,Matches,1998-1999
110,Sandro Cois,it ITA,MF,Fiorentina,26,1972,23,22,"1,853",20.6,0,0,0,0,0,7,2,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
111,Gianluca Colonnello,it ITA,DF,Perugia,25,1973,30,27,"2,502",27.8,0,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,Matches,1998-1999
112,Francesco Colonnese,it ITA,DF,Inter,26,1971,28,28,"2,420",26.9,1,1,1,0,0,11,0,0.04,0.04,0.07,0.04,0.07,Matches,1998-1999
113,Sérgio Conceição,pt POR,MF,Lazio,23,1974,33,32,"2,553",28.4,5,6,5,0,0,2,0,0.18,0.21,0.39,0.18,0.39,Matches,1998-1999
114,Antonio Conte,it ITA,MF,Juventus,29,1969,29,23,"2,086",23.2,4,3,4,0,0,7,0,0.17,0.13,0.30,0.17,0.30,Matches,1998-1999
115,Mirko Conte,it ITA,DF,Vicenza,23,1974,10,2,294,3.3,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
116,Daniele Conti,it ITA,MF,Roma,19,1979,4,2,167,1.9,1,0,1,0,0,0,2,0.54,0.00,0.54,0.54,0.54,Matches,1998-1999
117,Rui Costa,pt POR,MF,Fiorentina,26,1972,31,31,"2,701",30.0,10,9,6,4,5,5,0,0.33,0.30,0.63,0.20,0.50,Matches,1998-1999
118,Alessandro Costacurta,it ITA,DF,Milan,32,1966,29,29,"2,604",28.9,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
119,Fernando Couto,pt POR,DF,Lazio,28,1969,22,12,"1,138",12.6,2,0,2,0,0,4,1,0.16,0.00,0.16,0.16,0.16,Matches,1998-1999
120,Hernán Crespo,ar ARG,FW,Parma,23,1975,30,29,"2,458",27.3,16,3,15,1,2,1,0,0.59,0.11,0.70,0.55,0.66,Matches,1998-1999
121,Paolo Cristallini,it ITA,MF,Piacenza,26,1971,25,21,"1,801",20.0,2,0,2,0,0,8,0,0.10,0.00,0.10,0.10,0.10,Matches,1998-1999
122,André Cruz,br BRA,DF,Milan,29,1968,2,1,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
123,Andrea Cupi,it ITA,DF,Empoli,22,1976,8,5,469,5.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
124,David D'Antoni,it ITA,MF,Empoli,19,1979,1,0,9,0.1,0,,0,0,,0,0,0.00,,,0.00,,Matches,1998-1999
125,Ousmane Dabo,fr FRA,MF,Vicenza,21,1977,18,15,"1,325",14.7,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
126,Alessandro Dal Canto,it ITA,DF,Venezia,23,1975,27,26,"2,272",25.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
127,Filippo Dal Moro,it ITA,DF,Roma,27,1970,5,5,434,4.8,0,,0,0,,0,0,0.00,,,0.00,,Matches,1998-1999
128,Edgar Davids,nl NED,MF,Juventus,25,1973,27,27,"2,384",26.5,2,4,2,0,0,10,1,0.08,0.15,0.23,0.08,0.23,Matches,1998-1999
130,Gianluca De Angelis,it ITA,FW,Parma,17,1981,1,0,8,0.1,0,,0,0,,0,0,0.00,,,0.00,,Matches,1998-1999
131,Diego De Ascentis,it ITA,MF,Bari,22,1976,30,28,"2,361",26.2,2,1,2,0,0,8,1,0.08,0.04,0.11,0.08,0.11,Matches,1998-1999
132,Andrea De Cecco,,,Venezia,19,1979,1,0,1,0.0,0,,0,0,,0,0,0.00,,,0.00,,Matches,1998-1999
