,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
282,Aymeric Laporte,es ESP,DF,Manchester City,27-327,1994,26,26,"2,260",25.1,3,0,3,0,0,5,1,0.12,0.00,0.12,0.12,0.12,3.5,3.5,0.4,3.9,0.14,0.01,0.15,0.14,0.15,Matches
283,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,28-159,1993,21,19,"1,716",19.1,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,0.7,0.7,0.3,0.9,0.04,0.01,0.05,0.04,0.05,Matches
284,Pierre Lees-Melou,fr FRA,MF,Norwich City,28-329,1993,27,21,"1,814",20.2,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,1.3,1.3,1.6,2.9,0.06,0.08,0.14,0.06,0.14,Matches
286,Aaron Lennon,eng ENG,MF,Burnley,35-003,1987,21,15,"1,310",14.6,2,0,2,0,0,2,0,0.14,0.00,0.14,0.14,0.14,0.6,0.6,0.4,1.1,0.04,0.03,0.07,0.04,0.07,Matches
287,Bernd Leno,de GER,GK,Arsenal,30-046,1992,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
288,Jamal Lewis,nir NIR,DF,Newcastle Utd,24-084,1998,5,4,262,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
289,Victor Lindelöf,se SWE,DF,Manchester Utd,27-276,1994,22,20,"1,815",20.2,0,2,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,0.2,0.2,0.5,0.7,0.01,0.02,0.03,0.01,0.03,Matches
290,Jesse Lingard,eng ENG,"FW,MF",Manchester Utd,29-125,1992,14,2,272,3.0,2,0,2,0,0,1,0,0.66,0.00,0.66,0.66,0.66,0.7,0.7,0.4,1.0,0.22,0.12,0.34,0.22,0.34,Matches
291,Valentino Livramento,eng ENG,DF,Southampton,19-158,2002,26,24,"2,158",24.0,1,1,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,1.1,1.1,2.3,3.4,0.05,0.09,0.14,0.05,0.14,Matches
292,Diego Llorente,es ESP,DF,Leeds United,28-246,1993,23,23,"1,890",21.0,2,0,2,0,0,6,0,0.10,0.00,0.10,0.10,0.10,1.0,1.0,0.1,1.1,0.05,0.00,0.05,0.05,0.05,Matches
293,Hugo Lloris,fr FRA,GK,Tottenham,35-114,1986,32,32,"2,880",32.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,0.02,0.02,0.00,0.02,Matches
294,Giovani Lo Celso,ar ARG,"MF,FW",Tottenham,26-010,1996,9,2,238,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.6,1.4,0.28,0.24,0.52,0.28,0.52,Matches
295,Jürgen Locadia,nl NED,FW,Brighton,28-163,1993,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.45,0.00,0.45,0.45,0.45,Matches
296,Ruben Loftus-Cheek,eng ENG,"MF,DF",Chelsea,26-086,1996,17,9,960,10.7,0,2,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,1.0,1.0,1.4,2.5,0.09,0.14,0.23,0.09,0.23,Matches
297,Kevin Long,ie IRL,DF,Burnley,31-244,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
298,Shane Long,ie IRL,FW,Southampton,35-087,1987,10,1,158,1.8,1,0,1,0,0,1,0,0.57,0.00,0.57,0.57,0.57,0.6,0.6,0.0,0.6,0.34,0.02,0.36,0.34,0.36,Matches
299,Sean Longstaff,eng ENG,MF,Newcastle Utd,24-171,1997,19,11,"1,103",12.3,1,1,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,1.1,1.1,0.4,1.5,0.09,0.03,0.12,0.09,0.12,Matches
300,Ademola Lookman,ng NGA,"FW,MF",Leicester City,24-181,1997,21,14,"1,280",14.2,6,0,6,0,0,2,0,0.42,0.00,0.42,0.42,0.42,4.5,4.5,1.9,6.3,0.31,0.13,0.45,0.31,0.45,Matches
301,Jonas Lössl,dk DEN,GK,Brentford,33-077,1989,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
302,Imran Louza,ma MAR,MF,Watford,22-353,1999,18,15,"1,252",13.9,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.8,1.8,0.08,0.05,0.13,0.08,0.13,Matches
303,Matthew Lowton,eng ENG,DF,Burnley,32-314,1989,21,19,"1,685",18.7,1,2,1,0,0,3,0,0.05,0.11,0.16,0.05,0.16,0.6,0.6,1.3,1.9,0.03,0.07,0.10,0.03,0.10,Matches
304,Douglas Luiz,br BRA,MF,Aston Villa,23-345,1998,27,25,"2,172",24.1,1,3,1,0,0,6,0,0.04,0.12,0.17,0.04,0.17,1.2,1.2,2.2,3.4,0.05,0.09,0.14,0.05,0.14,Matches
305,Romelu Lukaku,be BEL,FW,Chelsea,28-341,1993,20,12,"1,238",13.8,5,0,5,0,0,0,0,0.36,0.00,0.36,0.36,0.36,4.6,4.6,2.2,6.8,0.34,0.16,0.50,0.34,0.50,Matches
306,Lyanco,br BRA,DF,Southampton,25-077,1997,12,6,641,7.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.02,0.04,0.02,0.04,Matches
307,Alexis Mac Allister,ar ARG,"MF,FW",Brighton,23-116,1998,27,16,"1,607",17.9,4,2,3,1,1,3,0,0.22,0.11,0.34,0.17,0.28,3.6,2.9,1.2,4.1,0.20,0.07,0.27,0.16,0.23,Matches
308,James Maddison,eng ENG,"MF,FW",Leicester City,25-147,1996,29,22,"1,928",21.4,8,5,8,0,0,2,0,0.37,0.23,0.61,0.37,0.61,5.9,5.9,3.9,9.8,0.28,0.18,0.46,0.28,0.46,Matches
309,Harry Maguire,eng ENG,DF,Manchester Utd,29-045,1993,27,26,"2,314",25.7,1,0,1,0,0,9,1,0.04,0.00,0.04,0.04,0.04,1.7,1.7,0.1,1.8,0.07,0.01,0.07,0.07,0.07,Matches
310,Riyad Mahrez,dz ALG,FW,Manchester City,31-057,1991,23,12,"1,229",13.7,10,4,6,4,4,0,0,0.73,0.29,1.03,0.44,0.73,8.6,5.6,3.2,8.7,0.63,0.23,0.86,0.41,0.64,Matches
312,Ainsley Maitland-Niles,eng ENG,MF,Arsenal,24-233,1997,8,2,268,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.01,0.12,0.13,0.01,0.13,Matches
313,Sadio Mané,sn SEN,FW,Liverpool,30-009,1992,28,26,"2,332",25.9,13,1,13,0,0,3,0,0.50,0.04,0.54,0.50,0.54,14.9,14.9,3.6,18.5,0.57,0.14,0.71,0.57,0.71,Matches
314,Javier Manquillo,es ESP,DF,Newcastle Utd,27-349,1994,19,15,"1,257",14.0,1,2,1,0,0,5,0,0.07,0.14,0.21,0.07,0.21,0.5,0.5,0.3,0.8,0.03,0.02,0.06,0.03,0.06,Matches
315,Fernando Marçal,br BRA,DF,Wolves,33-059,1989,18,17,"1,449",16.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.7,1.2,0.03,0.04,0.08,0.03,0.08,Matches
316,Solly March,eng ENG,"DF,FW",Brighton,27-273,1994,25,12,"1,330",14.8,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,1.2,1.2,2.4,3.5,0.08,0.16,0.24,0.08,0.24,Matches
317,Pablo Marí,es ESP,DF,Arsenal,28-231,1993,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.15,0.05,0.21,0.15,0.21,Matches
318,Anthony Martial,fr FRA,FW,Manchester Utd,26-135,1995,8,2,212,2.4,1,0,1,0,0,0,0,0.42,0.00,0.42,0.42,0.42,0.4,0.4,0.1,0.6,0.19,0.06,0.25,0.19,0.25,Matches
