,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
299,Sam Lammers,nl NED,"FW,MF",Atalanta,23,1997,15,1,291,3.2,2,0,2,0,0,0,0,0.62,0.00,0.62,0.62,0.62,1.3,1.3,0.3,1.6,0.39,0.10,0.49,0.39,0.49,Matches,2020-2021
300,Gianluca Lapadula,pe PER,FW,Benevento,30,1990,37,29,"2,563",28.5,8,2,8,0,1,2,0,0.28,0.07,0.35,0.28,0.35,10.2,9.3,3.9,13.2,0.36,0.14,0.49,0.33,0.46,Matches,2020-2021
301,Danilo Larangeira,br BRA,DF,Bologna,36,1984,35,34,"3,132",34.8,0,1,0,0,0,8,0,0.00,0.03,0.03,0.00,0.03,0.7,0.7,1.1,1.8,0.02,0.03,0.05,0.02,0.05,Matches,2020-2021
302,Kevin Lasagna,it ITA,FW,Hellas Verona,27,1992,19,14,"1,267",14.1,2,0,2,0,0,0,0,0.14,0.00,0.14,0.14,0.14,3.4,3.4,1.1,4.5,0.24,0.08,0.32,0.24,0.32,Matches,2020-2021
303,Kevin Lasagna,it ITA,FW,Udinese,27,1992,17,12,"1,103",12.3,2,1,2,0,0,1,0,0.16,0.08,0.24,0.16,0.24,7.3,7.3,0.6,8.0,0.60,0.05,0.65,0.60,0.65,Matches,2020-2021
304,Vincent Laurini,fr FRA,DF,Parma,31,1989,14,10,870,9.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,2020-2021
305,Darko Lazović,rs SRB,DF,Hellas Verona,29,1990,32,27,"2,503",27.8,3,6,3,0,0,3,0,0.11,0.22,0.32,0.11,0.32,2.9,2.9,4.1,7.1,0.11,0.15,0.25,0.11,0.25,Matches,2020-2021
306,Manuel Lazzari,it ITA,DF,Lazio,26,1993,32,30,"2,613",29.0,2,5,2,0,0,2,1,0.07,0.17,0.24,0.07,0.24,2.2,2.2,3.9,6.1,0.08,0.13,0.21,0.08,0.21,Matches,2020-2021
307,Rafael Leão,pt POR,FW,Milan,21,1999,30,22,"1,924",21.4,6,6,6,0,0,5,0,0.28,0.28,0.56,0.28,0.56,5.7,5.7,4.5,10.2,0.27,0.21,0.48,0.27,0.48,Matches,2020-2021
308,Lucas Leiva,br BRA,MF,Lazio,33,1987,32,30,"2,131",23.7,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.02,0.01,0.03,0.02,0.03,Matches,2020-2021
309,Lukas Lerager,dk DEN,MF,Genoa,27,1993,16,13,"1,159",12.9,0,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,0.5,0.5,0.4,0.9,0.04,0.03,0.07,0.04,0.07,Matches,2020-2021
310,Mehdi Léris,fr FRA,"DF,MF",Sampdoria,22,1998,20,3,386,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.02,0.07,0.09,0.02,0.09,Matches,2020-2021
312,Karlo Letica,hr CRO,GK,Sampdoria,23,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
313,Gaetano Letizia,it ITA,DF,Benevento,30,1990,24,18,"1,570",17.4,3,1,3,0,0,2,0,0.17,0.06,0.23,0.17,0.23,0.4,0.4,1.4,1.8,0.02,0.08,0.10,0.02,0.10,Matches,2020-2021
314,Matthijs de Ligt,nl NED,DF,Juventus,20,1999,27,25,"2,220",24.7,1,1,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,1.1,1.1,0.6,1.8,0.05,0.03,0.07,0.05,0.07,Matches,2020-2021
