,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
477,Japhet Tanganga,eng ENG,DF,Tottenham,21,1999,6,6,487,5.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.04,0.00,0.04,0.04,0.04,Matches,2020-2021
478,Matt Targett,eng ENG,DF,Aston Villa,24,1995,38,38,"3,404",37.8,0,2,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,0.2,0.2,3.1,3.4,0.01,0.08,0.09,0.01,0.09,Matches,2020-2021
479,James Tarkowski,eng ENG,DF,Burnley,27,1992,36,36,"3,240",36.0,1,0,1,0,0,6,0,0.03,0.00,0.03,0.03,0.03,2.6,2.6,0.7,3.3,0.07,0.02,0.09,0.07,0.09,Matches,2020-2021
480,Percy Tau,za RSA,"FW,MF",Brighton,26,1994,3,1,103,1.1,0,1,0,0,0,0,0,0.00,0.87,0.87,0.00,0.87,0.0,0.0,0.3,0.3,0.00,0.27,0.27,0.00,0.27,Matches,2020-2021
481,Sidnei Tavares,pt POR,MF,Leicester City,18,2001,2,1,85,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.06,0.00,0.06,0.06,0.06,Matches,2020-2021
482,Charlie Taylor,eng ENG,DF,Burnley,26,1993,29,28,"2,426",27.0,0,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,0.1,0.1,1.8,1.8,0.00,0.07,0.07,0.00,0.07,Matches,2020-2021
483,Neil Taylor,wls WAL,DF,Aston Villa,31,1989,1,0,16,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
484,Allan Tchaptchet,fr FRA,DF,Southampton,18,2001,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
485,Nathan Tella,eng ENG,"FW,MF",Southampton,21,1999,18,7,745,8.3,1,1,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,1.8,1.8,0.8,2.6,0.22,0.09,0.31,0.22,0.31,Matches,2020-2021
486,Alex Telles,br BRA,DF,Manchester Utd,27,1992,9,8,690,7.7,0,2,0,0,0,0,0,0.00,0.26,0.26,0.00,0.26,0.2,0.2,1.1,1.3,0.02,0.15,0.17,0.02,0.17,Matches,2020-2021
487,Kenny Tete,nl NED,DF,Fulham,24,1995,22,18,"1,481",16.5,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,1.6,1.8,0.01,0.10,0.11,0.01,0.11,Matches,2020-2021
488,William Thomas Fish,eng ENG,DF,Manchester Utd,17,2003,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
489,Luke Thomas,eng ENG,DF,Leicester City,19,2001,14,12,969,10.8,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,0.3,0.3,0.2,0.6,0.03,0.02,0.05,0.03,0.05,Matches,2020-2021
490,Youri Tielemans,be BEL,MF,Leicester City,23,1997,38,37,"3,357",37.3,6,4,4,2,2,6,0,0.16,0.11,0.27,0.11,0.21,4.5,3.0,3.3,6.3,0.12,0.09,0.21,0.08,0.17,Matches,2020-2021
491,Kieran Tierney,sct SCO,DF,Arsenal,23,1997,27,26,"2,299",25.5,1,3,1,0,0,4,0,0.04,0.12,0.16,0.04,0.16,0.4,0.4,4.1,4.5,0.02,0.16,0.17,0.02,0.17,Matches,2020-2021
492,James Tomkins,eng ENG,DF,Crystal Palace,31,1989,8,6,553,6.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.03,0.01,0.04,0.03,0.04,Matches,2020-2021
494,Fikayo Tomori,eng ENG,DF,Chelsea,22,1997,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
495,Ferrán Torres,es ESP,"FW,MF",Manchester City,20,2000,24,15,"1,306",14.5,7,2,7,0,0,1,0,0.48,0.14,0.62,0.48,0.62,5.4,5.4,1.9,7.3,0.37,0.13,0.50,0.37,0.50,Matches,2020-2021
496,Cenk Tosun,tr TUR,FW,Everton,29,1991,5,0,48,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.25,0.25,0.00,0.25,Matches,2020-2021
497,Andros Townsend,eng ENG,"MF,FW",Crystal Palace,29,1991,34,25,"2,258",25.1,1,5,1,0,0,0,0,0.04,0.20,0.24,0.04,0.24,2.3,2.3,3.7,6.0,0.09,0.15,0.24,0.09,0.24,Matches,2020-2021
498,Conor Townsend,eng ENG,DF,West Brom,27,1993,25,25,"2,234",24.8,0,2,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,1.0,1.0,2.1,3.1,0.04,0.09,0.13,0.04,0.13,Matches,2020-2021
499,Adama Traoré,es ESP,FW,Wolves,24,1996,37,28,"2,649",29.4,2,2,2,0,0,4,0,0.07,0.07,0.14,0.07,0.14,2.2,2.2,5.4,7.7,0.08,0.18,0.26,0.08,0.26,Matches,2020-2021
500,Bertrand Traoré,bf BFA,FW,Aston Villa,24,1995,36,29,"2,317",25.7,7,6,7,0,0,1,0,0.27,0.23,0.50,0.27,0.50,6.4,6.4,3.2,9.6,0.25,0.12,0.37,0.25,0.37,Matches,2020-2021
