,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
81,Bruno,es ESP,DF,Almería,27,1980,34,34,"2,988",33.2,0,2,0,0,0,7,1,0.00,0.06,0.06,0.00,0.06,Matches,2008-2009
82,Alberto Bueno,es ESP,"FW,MF",Real Madrid,20,1988,3,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
83,Sergio Busquets,es ESP,MF,Barcelona,20,1988,24,16,"1,535",17.1,1,0,1,0,0,9,0,0.06,0.00,0.06,0.06,0.06,Matches,2008-2009
84,Martín Cáceres,uy URU,DF,Barcelona,21,1987,13,8,783,8.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
85,Javier Calleja,es ESP,MF,Málaga,30,1978,31,30,"2,697",30.0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
86,José Callejón,es ESP,"FW,MF",Espanyol,21,1987,24,9,941,10.5,2,0,2,0,0,3,0,0.19,0.00,0.19,0.19,0.19,Matches,2008-2009
87,Juanmi Callejón,es ESP,MF,Mallorca,21,1987,1,1,50,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
88,Diego Camacho,es ESP,MF,Sporting Gijón,31,1976,31,27,"2,388",26.5,1,0,1,0,0,8,0,0.04,0.00,0.04,0.04,0.04,Matches,2008-2009
89,Ignacio Camacho,es ESP,MF,Atlético Madrid,18,1990,8,3,245,2.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
90,Raúl Cámara,es ESP,DF,Sporting Gijón,24,1984,17,13,"1,273",14.1,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
91,Javier Camuñas,es ESP,"FW,MF",Recreativo,28,1980,34,31,"2,797",31.1,10,6,10,0,0,4,0,0.32,0.19,0.51,0.32,0.51,Matches,2008-2009
92,Sergio Canales,es ESP,"FW,MF",Racing Sant,17,1991,6,0,111,1.2,0,1,0,0,0,0,0,0.00,0.81,0.81,0.00,0.81,Matches,2008-2009
