,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
237,Asier Illarramendi,es ESP,MF,Real Sociedad,28,1990,23,20,"1,821",20.2,1,1,1,0,0,8,0,0.05,0.05,0.10,0.05,0.10,0.4,0.4,1.5,1.9,0.02,0.07,0.09,0.02,0.09,Matches,2018-2019
238,Giannelli Imbula,cd COD,MF,Rayo Vallecano,25,1992,22,21,"1,732",19.2,1,1,1,0,0,7,0,0.05,0.05,0.10,0.05,0.10,1.0,1.0,0.6,1.7,0.05,0.03,0.09,0.05,0.09,Matches,2018-2019
239,Pablo Insua,es ESP,DF,Huesca,24,1993,10,10,776,8.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
240,Takashi Inui,jp JPN,"MF,FW",Alavés,30,1988,12,10,828,9.2,2,0,2,0,0,0,0,0.22,0.00,0.22,0.22,0.22,1.6,1.6,0.4,2.0,0.17,0.04,0.21,0.17,0.21,Matches,2018-2019
241,Takashi Inui,jp JPN,"FW,MF",Betis,30,1988,8,5,377,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.2,1.5,0.32,0.04,0.36,0.32,0.36,Matches,2018-2019
242,Gorka Iraizoz,es ESP,GK,Girona,37,1981,7,6,559,6.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
243,Carlos Isaac,es ESP,DF,Atlético Madrid,20,1998,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.13,0.04,0.17,0.13,0.17,Matches,2018-2019
244,Isco,es ESP,"MF,FW",Real Madrid,26,1992,27,11,"1,192",13.2,3,2,3,0,0,3,0,0.23,0.15,0.38,0.23,0.38,4.0,4.0,2.2,6.2,0.30,0.17,0.47,0.30,0.47,Matches,2018-2019
245,Manuel Iturra,cl CHI,MF,Villarreal,34,1984,3,1,74,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
246,Ander Iturraspe,es ESP,MF,Athletic Club,29,1989,3,1,98,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
247,Ivi,es ESP,"MF,FW",Valladolid,24,1994,3,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.39,0.00,0.39,0.39,0.39,Matches,2018-2019
248,Adnan Januzaj,be BEL,"FW,MF",Real Sociedad,23,1995,20,13,"1,254",13.9,1,3,1,0,0,1,0,0.07,0.22,0.29,0.07,0.29,2.3,2.3,2.0,4.3,0.17,0.14,0.31,0.17,0.31,Matches,2018-2019
249,Jason,es ESP,"MF,DF",Levante,24,1994,30,26,"2,330",25.9,2,5,2,0,0,10,0,0.08,0.19,0.27,0.08,0.27,2.7,2.7,5.2,7.9,0.11,0.20,0.31,0.11,0.31,Matches,2018-2019
250,Mathias Jensen,dk DEN,"MF,FW",Celta Vigo,22,1996,6,3,235,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.08,0.04,0.12,0.08,0.12,Matches,2018-2019
251,Jesé,es ESP,"FW,MF",Betis,25,1993,14,9,779,8.7,2,0,2,0,0,2,0,0.23,0.00,0.23,0.23,0.23,3.0,3.0,0.8,3.8,0.34,0.09,0.43,0.34,0.43,Matches,2018-2019
252,Joaquín,es ESP,"FW,DF",Betis,37,1981,30,17,"1,696",18.8,6,0,6,0,0,5,0,0.32,0.00,0.32,0.32,0.32,4.2,4.2,3.3,7.4,0.22,0.17,0.39,0.22,0.39,Matches,2018-2019
253,Jony,es ESP,"MF,FW",Alavés,27,1991,36,34,"2,971",33.0,4,11,4,0,0,3,0,0.12,0.33,0.45,0.12,0.45,4.4,4.4,7.2,11.6,0.13,0.22,0.35,0.13,0.35,Matches,2018-2019
254,Joan Jordán,es ESP,MF,Eibar,24,1994,36,32,"2,875",31.9,4,4,4,0,0,10,0,0.13,0.13,0.25,0.13,0.25,2.9,2.9,3.8,6.7,0.09,0.12,0.21,0.09,0.21,Matches,2018-2019
255,Willian José,br BRA,FW,Real Sociedad,26,1991,31,28,"2,367",26.3,11,5,6,5,7,5,1,0.42,0.19,0.61,0.23,0.42,11.8,6.8,3.4,10.3,0.45,0.13,0.58,0.26,0.39,Matches,2018-2019
256,Aleksandar Jovanović,rs SRB,GK,Huesca,25,1992,12,12,"1,080",12.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
257,Jozabed,es ESP,MF,Celta Vigo,27,1991,20,14,"1,155",12.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.0,1.6,0.05,0.08,0.13,0.05,0.13,Matches,2018-2019
258,Miguel Juan Llambrich,es ESP,DF,Villarreal,22,1996,8,5,544,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.3,0.01,0.04,0.05,0.01,0.05,Matches,2018-2019
260,Juanfran,es ESP,DF,Atlético Madrid,33,1985,22,18,"1,609",17.9,0,2,0,0,0,7,0,0.00,0.11,0.11,0.00,0.11,0.0,0.0,2.5,2.5,0.00,0.14,0.14,0.00,0.14,Matches,2018-2019
261,Juanfran,es ESP,DF,Leganés,29,1988,23,17,"1,459",16.2,1,1,1,0,0,0,0,0.06,0.06,0.12,0.06,0.12,0.5,0.5,2.2,2.6,0.03,0.14,0.16,0.03,0.16,Matches,2018-2019
262,Juanmi,es ESP,"FW,MF",Real Sociedad,25,1993,30,16,"1,523",16.9,5,2,5,0,0,5,1,0.30,0.12,0.41,0.30,0.41,6.4,6.4,1.5,7.9,0.38,0.09,0.47,0.38,0.47,Matches,2018-2019
263,Juanpe,es ESP,DF,Girona,27,1991,33,31,"2,767",30.7,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.4,1.4,0.03,0.01,0.05,0.03,0.05,Matches,2018-2019
264,Juanpi,ve VEN,"MF,FW",Huesca,24,1994,14,8,670,7.4,2,2,1,1,1,2,0,0.27,0.27,0.54,0.13,0.40,1.6,0.8,0.5,1.3,0.21,0.07,0.28,0.11,0.18,Matches,2018-2019
265,David Juncà,es ESP,DF,Celta Vigo,24,1993,21,21,"1,754",19.5,0,3,0,0,0,6,0,0.00,0.15,0.15,0.00,0.15,0.3,0.3,0.8,1.1,0.02,0.04,0.06,0.02,0.06,Matches,2018-2019
266,Vinicius Júnior,br BRA,FW,Real Madrid,18,2000,18,9,869,9.7,2,0,2,0,0,0,0,0.21,0.00,0.21,0.21,0.21,2.9,2.9,1.4,4.4,0.31,0.15,0.45,0.31,0.45,Matches,2018-2019
267,Gaël Kakuta,cd COD,"MF,FW",Rayo Vallecano,27,1991,12,9,717,8.0,1,0,0,1,1,1,0,0.13,0.00,0.13,0.00,0.00,1.2,0.4,0.3,0.7,0.15,0.04,0.19,0.05,0.09,Matches,2018-2019
268,Nikola Kalinić,hr CRO,FW,Atlético Madrid,30,1988,17,7,642,7.1,2,0,2,0,0,3,0,0.28,0.00,0.28,0.28,0.28,1.5,1.5,0.2,1.6,0.20,0.02,0.23,0.20,0.23,Matches,2018-2019
269,Lee Kangin,kr KOR,"FW,MF",Valencia,17,2001,3,0,24,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.07,0.18,0.25,0.07,0.25,Matches,2018-2019
270,Wilfrid Kaptoum,cm CMR,MF,Betis,22,1996,10,9,773,8.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches,2018-2019
271,Keko,es ESP,"MF,FW",Valladolid,26,1991,26,20,"1,533",17.0,2,1,2,0,0,2,0,0.12,0.06,0.18,0.12,0.18,3.2,3.2,2.2,5.4,0.19,0.13,0.32,0.19,0.32,Matches,2018-2019
272,Kike,es ESP,FW,Eibar,28,1989,30,15,"1,298",14.4,3,0,3,0,0,0,0,0.21,0.00,0.21,0.21,0.21,5.0,5.0,1.4,6.4,0.35,0.10,0.45,0.35,0.45,Matches,2018-2019
273,Simon Kjær,dk DEN,DF,Sevilla,29,1989,26,25,"2,008",22.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.4,1.3,0.04,0.02,0.06,0.04,0.06,Matches,2018-2019
274,Kenan Kodro,ba BIH,"FW,MF",Athletic Club,24,1993,11,0,161,1.8,1,0,1,0,0,0,0,0.56,0.00,0.56,0.56,0.56,0.2,0.2,0.2,0.3,0.09,0.09,0.18,0.09,0.18,Matches,2018-2019
275,Koke,es ESP,MF,Atlético Madrid,26,1992,30,29,"2,586",28.7,3,5,3,0,0,10,1,0.10,0.17,0.28,0.10,0.28,1.1,1.1,3.3,4.4,0.04,0.12,0.15,0.04,0.15,Matches,2018-2019
276,Geoffrey Kondogbia,cf CTA,MF,Valencia,25,1993,19,14,"1,245",13.8,1,1,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,2.0,2.0,0.9,2.9,0.14,0.07,0.21,0.14,0.21,Matches,2018-2019
277,Vasyl Kravets,ua UKR,DF,Leganés,20,1997,6,6,481,5.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.02,0.10,0.12,0.02,0.12,Matches,2018-2019
278,Toni Kroos,de GER,MF,Real Madrid,28,1990,28,26,"2,221",24.7,0,4,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,1.2,1.2,3.6,4.8,0.05,0.15,0.19,0.05,0.19,Matches,2018-2019
279,Víctor Laguardia,es ESP,DF,Alavés,28,1989,36,36,"3,240",36.0,1,2,1,0,0,13,0,0.03,0.06,0.08,0.03,0.08,1.4,1.4,1.1,2.5,0.04,0.03,0.07,0.04,0.07,Matches,2018-2019
280,Diego Lainez,mx MEX,"MF,FW",Betis,18,2000,12,3,353,3.9,0,1,0,0,0,2,0,0.00,0.25,0.25,0.00,0.25,0.2,0.2,0.4,0.6,0.06,0.09,0.15,0.06,0.15,Matches,2018-2019
281,Toni Lato,es ESP,DF,Valencia,20,1997,4,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.02,0.08,0.06,0.08,Matches,2018-2019
282,Miguel Layún,mx MEX,"MF,DF",Villarreal,30,1988,8,5,506,5.6,0,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,0.6,0.5,1.3,1.7,0.11,0.22,0.34,0.08,0.31,Matches,2018-2019
283,Robin Le Normand,fr FRA,DF,Real Sociedad,21,1996,4,3,284,3.2,0,1,0,0,0,1,0,0.00,0.32,0.32,0.00,0.32,0.3,0.3,0.0,0.3,0.09,0.01,0.10,0.09,0.10,Matches,2018-2019
