club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Udinese Calcio,Fabio Rossitto,32,Right Midfield,Germ. Beerschot,?,out,Summer,NA,Serie A,2004,2004/2005
Udinese Calcio,Martin Jörgensen,28,Central Midfield,Fiorentina,?,out,Summer,NA,Serie A,2004,2004/2005
Udinese Calcio,Toni Bernal,27,Goalkeeper,Ciudad Murcia,?,out,Summer,NA,Serie A,2004,2004/2005
Udinese Calcio,Zlatan Muslimovic,23,Centre-Forward,Rimini,loan transfer,out,Summer,NA,Serie A,2004,2004/2005
Udinese Calcio,Olivier Renard,25,Goalkeeper,Modena,loan transfer,out,Summer,NA,Serie A,2004,2004/2005
Udinese Calcio,Alberto Valentim,29,Right Midfield,Siena,loan transfer,out,Summer,NA,Serie A,2004,2004/2005
Udinese Calcio,Asamoah Gyan,18,Centre-Forward,Modena,loan transfer,out,Summer,NA,Serie A,2004,2004/2005
Udinese Calcio,Thomas Manfredini,24,Centre-Back,Catania,loan transfer,out,Summer,NA,Serie A,2004,2004/2005
Udinese Calcio,Lucas Castromán,23,Attacking Midfield,Vélez Sarsfield,"End of loanJun 30, 2004",out,Summer,0,Serie A,2004,2004/2005
Udinese Calcio,Diego Gavilán,24,Central Midfield,Newcastle,"End of loanJun 30, 2004",out,Summer,0,Serie A,2004,2004/2005
SS Lazio,Goran Pandev,20,Second Striker,Inter,€8.00m,in,Summer,8,Serie A,2004,2004/2005
SS Lazio,Anthony Seric,25,Left-Back,Hellas Verona,€1.50m,in,Summer,1.5,Serie A,2004,2004/2005
SS Lazio,Miguel Mea Vitali,23,Defensive Midfield,Caracas FC,free transfer,in,Summer,NA,Serie A,2004,2004/2005
SS Lazio,Paolo Di Canio,36,Centre-Forward,Charlton,free transfer,in,Summer,NA,Serie A,2004,2004/2005
SS Lazio,Matías Lequi,23,Centre-Back,River Plate,free transfer,in,Summer,NA,Serie A,2004,2004/2005
SS Lazio,Esteban González,25,Defensive Midfield,Gimnasia,?,in,Summer,NA,Serie A,2004,2004/2005
SS Lazio,Braian Robert,20,Left Midfield,Independiente,?,in,Summer,NA,Serie A,2004,2004/2005
SS Lazio,Tommaso Rocchi,26,Centre-Forward,Empoli,?,in,Summer,NA,Serie A,2004,2004/2005
SS Lazio,Sebastiano Siviglia,31,Centre-Back,Parma,?,in,Summer,NA,Serie A,2004,2004/2005
SS Lazio,Leonardo Talamonti,22,Centre-Back,Rosario Central,loan transfer,in,Summer,NA,Serie A,2004,2004/2005
